id_tracking_company,id_talent_req,id_company,nama_perusahaan,posisi,jenis_penempatan,bidang_studi_dicari,progress,request_date,send_date,jumlah_permintaan,jumlah_dikirimkan,list_nim,status_pengiriman
TC1577,TR1577,C792,CV Cakra Teknologi,Research Assistant,Part-time,"Farmasi, Statistika",On Review,2023-07-15,2023-08-02,2,2,"202218570,202014823",Sudah Dikirim
TC1578,TR1578,C671,PT Sinergi Terapan,Production Engineer Intern,Magang,"Teknik Industri, Teknik Mesin",Shortlisted,2023-06-17,2023-06-24,1,3,"202215509,202323367,202224033",Sudah Dikirim
TC1579,TR1579,C920,PT Bina Pratama,Graphic Designer,Part-time,Desain Komunikasi Visual,On Review,2023-02-15,2023-02-28,2,3,"202117888,202212225,202112630",Sudah Dikirim
TC1580,TR1580,C063,PT Solusi Indonesia,Quality Control Staff,Magang,"Teknik Industri, Agroteknologi",Submitted,2023-06-08,2023-06-28,1,1,202110441,Sudah Dikirim
TC1581,TR1581,C563,PT Solusi Abadi,Copywriter,Magang,"Ilmu Komunikasi, Sastra Inggris",Submitted,2023-04-08,2023-04-20,1,2,"202324320,202216003",Sudah Dikirim
TC1582,TR1582,C707,PT Graha Data,Environmental Analyst,Magang,"Agroteknologi, Teknik Sipil",Shortlisted,2023-07-09,2023-07-23,1,1,201921984,Sudah Dikirim
TC1583,TR1583,C524,PT Inti Makmur,Production Planning Intern,Magang,"Teknik Industri, Manajemen",On Review,2023-05-18,2023-05-28,5,5,"202216704,20229145,20233733,20237824,20226973",Sudah Dikirim
TC1584,TR1584,C014,PT Kreasi Bangsa,IT Staff,Full-time,"Informatika, Sistem Informasi",Closed,2023-05-08,2023-05-13,3,3,"202018503,20223050,202219061",Sudah Dikirim
TC1585,TR1585,C082,PT Makmur Gemilang,Mechanical Engineer Intern,Magang,Teknik Mesin,Closed,2023-03-09,2023-03-13,2,4,"20213393,20221878,202111459,202123177",Sudah Dikirim
TC1586,TR1586,C300,PT Esa Makmur,Brand Executive Intern,Magang,"Manajemen, Ilmu Komunikasi",Shortlisted,2023-04-19,2023-04-24,5,5,"202224284,202115349,202224191,202123791,202220441",Sudah Dikirim
TC1587,TR1587,C251,PT Inovasi Cerdas,Internal Auditor,Magang,Akuntansi,Shortlisted,2023-04-06,2023-04-26,4,5,"202318343,202312847,202215193,20225955,202314057",Sudah Dikirim
TC1588,TR1588,C171,PT Prima Data,Drafter,Magang,"Teknik Sipil, Teknik Mesin",Closed,2023-07-20,2023-08-01,1,2,"20231479,2",Sudah Dikirim
TC1589,TR1589,C318,PT Bangkit Bangsa,Data Analyst,Part-time,"Statistika, Manajemen",Closed,2023-05-16,2023-05-26,4,6,"202112153,202310971,20224327,20219177,202221772,202312115",Sudah Dikirim
TC1590,TR1590,C313,PT Bangkit Nusantara,Marketing Intern,Magang,"Manajemen, Ilmu Komunikasi",Shortlisted,2023-06-28,2023-07-06,2,4,"202310847,202021030,20213409,202319494",Sudah Dikirim
TC1591,TR1591,C895,CV Sukses Media,Content Creator,Full-time,"Ilmu Komunikasi, Desain Komunikasi Visual",On Review,2023-06-25,2023-07-14,5,7,"20219645,20212238,20208501,202018296,202017584,202022910,202213427",Sudah Dikirim
TC1592,TR1592,C656,CV Sejahtera Pratama,HSE Intern,Magang,"Teknik Industri, Teknik Mesin",Closed,2023-06-12,2023-06-25,3,5,"202221156,202011910,20236574,202218616,20237179",Sudah Dikirim
TC1593,TR1593,C621,PT Bakti Systems,IT Support,Part-time,"Teknik Elektro, Pendidikan Teknik Informatika",Shortlisted,2023-06-24,2023-06-28,1,2,"202219196,202221165",Sudah Dikirim
TC1594,TR1594,C1269,CV Andalas Terapan,Network Engineer Intern,Part-time,"Informatika, Teknik Elektro",On Review,2023-05-25,2023-06-14,2,2,"202120846,202313762",Sudah Dikirim
TC1595,TR1595,C1273,PT Sukses Analitika,Copywriter,Part-time,"Ilmu Komunikasi, Sastra Inggris",On Review,2023-03-09,2023-03-15,1,3,"20223694,202214153,20215352",Sudah Dikirim
TC1596,TR1596,C263,PT Sukses Kreatif,Digital Marketing Intern,Magang,"Ilmu Komunikasi, Desain Komunikasi Visual",Closed,2023-02-14,2023-03-03,2,3,"20212054,20237334,202216451",Sudah Dikirim
TC1597,TR1597,C914,CV Mega Data,Data Science Intern,Part-time,"Sistem Informasi, Informatika",Shortlisted,2023-06-02,2023-06-16,5,5,"202013169,20205742,202214257,202120086,202315674",Sudah Dikirim
TC1598,TR1598,C1459,CV Graha Logistik,Marketing Staff,Magang,"Desain Komunikasi Visual, Manajemen",Closed,2023-06-25,2023-07-07,3,5,"20231048,202122038,202217940,20212600,202124467",Sudah Dikirim
TC1599,TR1599,C759,PT Techno Global,Data Analyst,Magang,"Statistika, Sistem Informasi",Closed,2023-03-12,2023-03-22,5,7,"202122304,20195925,202121267,202120167,20196395,20230200,202217346",Sudah Dikirim
TC1600,TR1600,C1215,PT Sinergi Sejahtera,Research Associate,Full-time,Ilmu Komunikasi,Shortlisted,2023-02-06,2023-02-17,2,4,"202112137,20221377,202122251,20233521",Sudah Dikirim
TC1601,TR1601,C1432,CV Bangkit Konsultan,Financial Analyst,Magang,"Manajemen, Ekonomi Pembangunan",Shortlisted,2023-03-12,2023-04-01,2,3,"202015688,202321180,20204527",Sudah Dikirim
TC1602,TR1602,C604,PT Bina Logistik,IT Support,Part-time,"Sistem Informasi, Informatika",Closed,2023-04-13,2023-04-16,3,6,"20218859,20227509,202211594,202115591,202118001,202013250",Sudah Dikirim
TC1603,TR1603,C1126,PT Perkasa Analitika,Data Analyst,Magang,"Ekonomi Pembangunan, Manajemen",Closed,2023-03-26,2023-04-14,1,2,"202010929,20197357",Sudah Dikirim
TC1604,TR1604,C866,PT Cakra Media,Research Assistant,Part-time,"Statistika, Agroteknologi",Closed,2023-03-10,2023-03-27,2,4,"202110710,20221457,20238818,202214726",Sudah Dikirim
TC1605,TR1605,C091,PT Mitra Data,Geologist Intern,Magang,Teknik Sipil,On Review,2023-04-10,2023-04-15,2,2,"202111691,20223251",Sudah Dikirim
TC1606,TR1606,C905,PT Digital Nusantara,Data Analyst,Magang,"Ekonomi Pembangunan, Statistika",Closed,2023-07-30,2023-08-07,1,2,"202312866,202312970",Sudah Dikirim
TC1607,TR1607,C504,CV Digital Utama,Internal Auditor,Part-time,Akuntansi,Closed,2023-07-01,2023-07-16,2,3,"201912989,202220601,20207841",Sudah Dikirim
TC1608,TR1608,C905,PT Digital Nusantara,Data Analyst,Full-time,"Informatika, Manajemen",On Review,2023-05-14,2023-05-17,5,8,"202124526,20235888,202211348,202212227,202119967,20222479,202314720,202124940",Sudah Dikirim
TC1609,TR1609,C1421,PT Indo Pratama,Quality Control Staff,Full-time,"Farmasi, Agroteknologi",On Review,2023-03-03,2023-03-08,1,2,"20219438,202017506",Sudah Dikirim
TC1610,TR1610,C1143,CV Sukses Cerdas,NOC Technician,Magang,"Informatika, Teknik Elektro",Closed,2023-07-07,2023-07-15,5,6,"20211372,20209999,202114479,20237575,20191335,202221883",Sudah Dikirim
TC1611,TR1611,C368,PT Gemilang Nusantara,Data Analyst,Magang,"Statistika, Informatika",Shortlisted,2023-06-08,2023-06-28,3,4,"202012842,202219739,20220842,20193491",Sudah Dikirim
TC1612,TR1612,C694,CV Esa Nusantara,Supply Chain Intern,Magang,"Teknik Industri, Manajemen",On Review,2023-04-28,2023-05-13,2,4,"20213664,20232356,202111678,202311854",Sudah Dikirim
TC1613,TR1613,C495,PT Digital Mandiri,Business Development Intern,Magang,"Ilmu Komunikasi, Ekonomi Pembangunan",Shortlisted,2023-07-13,2023-07-16,4,5,"202217155,202120368,20227773,20213361,202220231",Sudah Dikirim
TC1614,TR1614,C229,PT Global Kreatif,Data Entry Operator,Magang,"Manajemen, Sistem Informasi",Submitted,2023-06-24,2023-07-13,1,3,"20234283,202116843,202113261",Sudah Dikirim
TC1615,TR1615,C802,PT Global Abadi,IT Support,Full-time,"Pendidikan Teknik Informatika, Teknik Elektro",Submitted,2023-07-24,2023-08-04,3,3,"202218729,20204970,20222016",Sudah Dikirim
TC1616,TR1616,C318,PT Bangkit Bangsa,Mechanical Engineer Intern,Full-time,Teknik Mesin,Submitted,2023-04-08,2023-04-13,4,6,"202311821,20212858,20237563,20233010,202023419,20223667",Sudah Dikirim
TC1617,TR1617,C720,PT Sejahtera Kreatif,Risk Analyst,Full-time,"Akuntansi, Manajemen",Closed,2023-03-29,2023-04-06,1,2,"20213085,20208905",Sudah Dikirim
TC1618,TR1618,C260,CV Prima Informatika,IT Support,Magang,"Informatika, Teknik Elektro",Shortlisted,2023-04-12,2023-05-01,3,5,"202110782,20211964,20203828,202117898,202219145",Sudah Dikirim
TC1619,TR1619,C1183,PT Inti Data,Marketing Intern,Part-time,"Manajemen, Ilmu Komunikasi",Submitted,2023-07-08,2023-07-18,3,4,"202013121,202118886,202216946,202015021",Sudah Dikirim
TC1620,TR1620,C543,PT Techno Makmur,Lab Technician Intern,Magang,"Farmasi, Agroteknologi",Shortlisted,2023-03-19,2023-04-02,1,1,202315568,Sudah Dikirim
TC1621,TR1621,C495,PT Digital Mandiri,Digital Marketing Intern,Part-time,"Ilmu Komunikasi, Desain Komunikasi Visual",On Review,2023-02-15,2023-03-04,1,4,"20204325,202221549,20219944,202114966",Sudah Dikirim
TC1622,TR1622,C618,PT Sinergi Nusantara,Research Assistant,Magang,"Agroteknologi, Farmasi",Shortlisted,2023-02-10,2023-02-21,2,2,"202215547,202224790",Sudah Dikirim
TC1623,TR1623,C308,PT Daya Nusantara,Supply Chain Intern,Magang,"Teknik Industri, Manajemen",Shortlisted,2023-04-29,2023-05-20,5,6,"20210313,20204527,20224947,202219546,202121648,20216585",Sudah Dikirim
TC1624,TR1624,C531,PT Bakti Pratama,Underwriting Intern,Magang,"Akuntansi, Manajemen",Closed,2023-07-27,2023-07-30,1,4,"20207841,202014437,202020530,20228190",Sudah Dikirim
TC1625,TR1625,C137,PT Perkasa Karya,Lab Technician Intern,Magang,"Farmasi, Agroteknologi",Closed,2023-03-05,2023-03-13,2,4,"20216750,202113940,20202139,202218849",Sudah Dikirim
TC1626,TR1626,C329,PT Indo Systems,Financial Analyst,Magang,"Ekonomi Pembangunan, Manajemen",Closed,2023-07-06,2023-07-24,4,4,"20192906,202112233,202016387,202118323",Sudah Dikirim
TC1627,TR1627,C1020,PT Digital Systems,Business Analyst,Magang,"Informatika, Manajemen",Closed,2023-03-08,2023-03-21,1,2,"20191335,202019975",Sudah Dikirim
TC1628,TR1628,C1232,CV Solusi Mandiri,IT Support,Magang,"Teknik Elektro, Informatika",Closed,2023-07-07,2023-07-20,2,5,"202316825,20232509,202318521,202113136,20209497",Sudah Dikirim
TC1629,TR1629,C676,CV Graha Data,Drafter,Part-time,"Teknik Sipil, Teknik Mesin",Closed,2023-03-07,2023-03-10,2,5,"202123150,20220536,20236362,202112574,20216104",Sudah Dikirim
TC1630,TR1630,C995,PT Sinergi Makmur,IT Staff,Magang,"Informatika, Teknik Elektro",Closed,2023-04-05,2023-04-21,4,5,"202112777,202321560,201922960,20201876,202314792",Sudah Dikirim
TC1631,TR1631,C518,PT Sukses Abadi,Business Development Intern,Part-time,"Manajemen, Ilmu Komunikasi",On Review,2023-03-21,2023-04-02,1,2,"202215590,202114655",Sudah Dikirim
TC1632,TR1632,C1307,CV Esa Abadi,Data Analyst,Magang,"Sistem Informasi, Statistika",Shortlisted,2023-04-22,2023-04-25,2,2,"20223269,202217309",Sudah Dikirim
TC1633,TR1633,C1028,PT Media Makmur,Data Analyst,Magang,"Sistem Informasi, Statistika",Shortlisted,2023-07-31,2023-08-03,2,2,"201917359,202011908",Sudah Dikirim
TC1634,TR1634,C1211,CV Daya Data,Quality Control Staff,Magang,"Agroteknologi, Teknik Mesin",Closed,2023-04-16,2023-04-26,4,5,"20227918,202220633,20218843,202311064,20220385",Sudah Dikirim
TC1635,TR1635,C095,PT Karya Mandiri,Research Assistant,Magang,"Statistika, Farmasi",Submitted,2023-06-16,2023-07-04,1,2,"202221695,202221875",Sudah Dikirim
TC1636,TR1636,C087,PT Inti Analitika,Digital Marketing Intern,Magang,"Ilmu Komunikasi, Manajemen",On Review,2023-04-09,2023-04-25,3,5,"202224945,20230721,202111274,202213101,202223513",Sudah Dikirim
TC1637,TR1637,C947,PT Abadi Global,Customer Success Intern,Part-time,"Ilmu Komunikasi, Psikologi",Closed,2023-03-06,2023-03-18,1,3,"20193257,20202571,202210308",Sudah Dikirim
TC1638,TR1638,C1323,PT Graha Teknologi,IT Support,Magang,"Sistem Informasi, Informatika",Closed,2023-07-28,2023-08-07,2,4,"202118228,202121267,20217024,20238109",Sudah Dikirim
TC1639,TR1639,C661,CV Solusi Bangsa,Data Analyst,Magang,"Ekonomi Pembangunan, Sistem Informasi",Closed,2023-07-13,2023-07-31,2,4,"202120648,20239152,20236032,202213159",Sudah Dikirim
TC1640,TR1640,C1106,PT Mega Karya,Brand Executive Intern,Magang,"Manajemen, Ilmu Komunikasi",Shortlisted,2023-02-21,2023-02-27,3,4,"202019706,202017809,20202952,202221102",Sudah Dikirim
TC1641,TR1641,C1117,CV Media Digital,Customer Service Intern,Magang,"Manajemen, Psikologi",On Review,2023-03-01,2023-03-11,3,4,"20222479,202219466,202014260,202119346",Sudah Dikirim
TC1642,TR1642,C1170,PT Inovasi Bangsa,IT Support,Full-time,"Informatika, Teknik Elektro",On Review,2023-03-13,2023-03-19,3,4,"20219566,202120888,20235400,202313145",Sudah Dikirim
TC1643,TR1643,C955,CV Cakra Informatika,Business Analyst,Part-time,"Statistika, Informatika",Closed,2023-07-04,2023-07-19,2,4,"202024155,202218957,20237730,20218002",Sudah Dikirim
TC1644,TR1644,C014,PT Kreasi Bangsa,Data Analyst,Full-time,"Ekonomi Pembangunan, Manajemen",Closed,2023-03-01,2023-03-10,2,4,"20234317,20238801,202215687,202222900",Sudah Dikirim
TC1645,TR1645,C435,PT Abadi Utama,Frontend Developer,Magang,"Informatika, Pendidikan Teknik Informatika",On Review,2023-06-14,2023-06-29,3,6,"20233238,202112584,20214101,202018163,202123427,20197433",Sudah Dikirim
TC1646,TR1646,C1006,CV Makmur Logistik,Quality Control Staff,Full-time,"Farmasi, Agroteknologi",Shortlisted,2023-05-07,2023-05-28,1,1,20225445,Sudah Dikirim
TC1647,TR1647,C251,PT Inovasi Cerdas,Financial Analyst,Magang,"Manajemen, Ekonomi Pembangunan",Submitted,2023-03-09,2023-03-18,2,4,"20226973,202023359,20234782,202317955",Sudah Dikirim
TC1648,TR1648,C002,CV Makmur Abadi,Data Analyst,Magang,"Manajemen, Informatika",On Review,2023-04-22,2023-05-08,2,4,"202022421,20216662,20228390,202120244",Sudah Dikirim
TC1649,TR1649,C1216,CV Cipta Data,IT Support,Magang,"Sistem Informasi, Pendidikan Teknik Informatika",Closed,2023-06-22,2023-07-13,1,3,"202116853,202318437,20214144",Sudah Dikirim
TC1650,TR1650,C165,PT Bina Gemilang,Data Entry Operator,Part-time,"Sistem Informasi, Akuntansi",Shortlisted,2023-02-08,2023-02-19,3,3,"201921244,202311917,202115594",Sudah Dikirim
TC1651,TR1651,C1243,CV Sinergi Mandiri,IT Support,Full-time,"Informatika, Teknik Elektro",On Review,2023-06-02,2023-06-08,2,2,"202122905,202122438",Sudah Dikirim
TC1652,TR1652,C215,PT Esa Analitika,IT Staff,Part-time,"Sistem Informasi, Informatika",On Review,2023-04-30,2023-05-07,3,4,"202217204,20237306,202213149,20215720",Sudah Dikirim
TC1653,TR1653,C068,PT Media Bangsa,Data Entry Operator,Full-time,"Akuntansi, Sistem Informasi",Submitted,2023-02-12,2023-02-18,1,1,20202603,Sudah Dikirim
TC1654,TR1654,C1435,CV Bumi Digital,Data Analyst,Part-time,"Informatika, Ekonomi Pembangunan",Shortlisted,2023-07-05,2023-07-15,2,2,"202023099,20211539",Sudah Dikirim
TC1655,TR1655,C1123,PT Mandiri Nusantara,Data Analyst,Full-time,"Informatika, Ekonomi Pembangunan",Closed,2023-06-24,2023-07-12,3,3,"202121805,202315907,202215902",Sudah Dikirim
TC1656,TR1656,C488,PT Makmur Terapan,Data Analyst,Part-time,"Informatika, Sistem Informasi",On Review,2023-05-23,2023-06-11,1,2,"202121925,20218470",Sudah Dikirim
TC1657,TR1657,C1489,CV Karya Media,Research Intern,Magang,"Ekonomi Pembangunan, Psikologi",On Review,2023-07-12,2023-07-22,1,4,"202121499,202215921,202121451,20197622",Sudah Dikirim
TC1658,TR1658,C485,PT Perkasa Indonesia,Data Analyst,Magang,"Statistika, Sistem Informasi",Closed,2023-05-20,2023-06-03,3,5,"20224327,20215963,20210409,202014297,202214508",Sudah Dikirim
TC1659,TR1659,C968,PT Andalas Solusi,Supply Chain Analyst,Magang,"Teknik Industri, Sistem Informasi",Shortlisted,2023-05-10,2023-05-28,2,2,"202117519,20211722",Sudah Dikirim
TC1660,TR1660,C1233,CV Indo Teknologi,Internal Auditor,Magang,Akuntansi,Closed,2023-07-05,2023-07-14,2,5,"201921242,202218672,202023946,20233991,202115007",Sudah Dikirim
TC1661,TR1661,C890,PT Sukses Konsultan,Data Entry Operator,Magang,"Manajemen, Akuntansi",Closed,2023-05-05,2023-05-22,4,6,"202111858,20215903,202223817,20220149,20210411,20231496",Sudah Dikirim
TC1662,TR1662,C231,PT Nusa Systems,Consultant Intern,Full-time,"Ekonomi Pembangunan, Sistem Informasi",On Review,2023-04-26,2023-05-06,1,2,"202320974,202010426",Sudah Dikirim
TC1663,TR1663,C1451,CV Media Abadi,Electrical Engineer Intern,Full-time,Teknik Elektro,Draft,2023-02-08,,3,0,,Belum Dikirim
TC1664,TR1664,C1367,CV Digital Pratama,Digital Marketing Intern,Full-time,"Ilmu Komunikasi, Manajemen",Closed,2023-06-06,2023-06-26,3,5,"20235844,202216152,202120669,202214644,202118212",Sudah Dikirim
TC1665,TR1665,C1463,PT Sejahtera Media,IT Support,Magang,"Sistem Informasi, Pendidikan Teknik Informatika",On Review,2023-07-24,2023-08-12,1,2,"201911903,20236069",Sudah Dikirim
TC1666,TR1666,C371,PT Sejahtera Teknologi,Digital Marketing Intern,Part-time,"Ilmu Komunikasi, Manajemen",Draft,2023-06-26,,1,0,,Belum Dikirim
TC1667,TR1667,C802,PT Global Abadi,Mechanical Engineer Intern,Part-time,Teknik Mesin,Shortlisted,2023-05-12,2023-05-25,4,6,"20220246,202324527,20218517,202123590,20235830,20226376",Sudah Dikirim
TC1668,TR1668,C1077,PT Prima Konsultan,Operations Intern,Part-time,"Teknik Industri, Manajemen",Closed,2023-06-09,2023-06-16,2,3,"202112485,202118086,20205255",Sudah Dikirim
TC1669,TR1669,C451,PT Techno Solusi,Content Creator,Full-time,"Ilmu Komunikasi, Desain Komunikasi Visual",Shortlisted,2023-04-27,2023-04-30,3,4,"202214018,20201045,202024314,202218076",Sudah Dikirim
TC1670,TR1670,C909,CV Andalas Digital,Research Associate,Full-time,Teknik Industri,Shortlisted,2023-04-22,2023-04-27,5,6,"202312523,20202334,202322671,202321052,202211137,202223641",Sudah Dikirim
TC1671,TR1671,C1381,CV Bangkit Informatika,Data Analyst,Magang,"Manajemen, Informatika",Closed,2023-06-20,2023-06-26,1,4,"202222235,20230719,20219838,20227263",Sudah Dikirim
TC1672,TR1672,C377,PT Inti Global,Content Creator,Magang,"Ilmu Komunikasi, Desain Komunikasi Visual",Submitted,2023-06-16,2023-06-19,4,4,"20230076,202223622,202313814,202310176",Sudah Dikirim
TC1673,TR1673,C593,PT Graha Analitika,Business Analyst,Part-time,"Informatika, Statistika",Shortlisted,2023-04-22,2023-05-05,2,2,"202014730,202013169",Sudah Dikirim
TC1674,TR1674,C303,PT Esa Mandiri,IT Support,Part-time,"Pendidikan Teknik Informatika, Sistem Informasi",Submitted,2023-06-07,2023-06-23,4,6,"202124481,20212977,202115770,20233932,20210901,202115958",Sudah Dikirim
TC1675,TR1675,C407,PT Karya Utama,Data Entry Operator,Magang,"Sistem Informasi, Akuntansi",Closed,2023-05-26,2023-05-30,1,2,"201922035,202020987",Sudah Dikirim
TC1676,TR1676,C1186,PT Jaya Abadi,Supply Chain Intern,Magang,"Teknik Industri, Manajemen",On Review,2023-05-01,2023-05-15,2,2,"202115911,202220458",Sudah Dikirim
TC1677,TR1677,C1310,CV Abadi Utama,Risk Analyst,Magang,"Statistika, Manajemen",Closed,2023-05-18,2023-06-07,2,2,"202211702,20231586",Sudah Dikirim
TC1678,TR1678,C210,PT Bumi Informatika,Agricultural Engineer Intern,Magang,Agroteknologi,Closed,2023-03-28,2023-04-16,1,3,"202020735,20204712,202112700",Sudah Dikirim
TC1679,TR1679,C147,PT Bumi Data,Quality Control Staff,Magang,"Farmasi, Teknik Mesin",Closed,2023-06-21,2023-07-02,2,2,"20220137,202015414",Sudah Dikirim
TC1680,TR1680,C1475,CV Mandiri Terapan,Digital Marketing Intern,Part-time,"Desain Komunikasi Visual, Ilmu Komunikasi",Shortlisted,2023-05-13,2023-06-01,2,3,"202122740,201912357,20208615",Sudah Dikirim
TC1681,TR1681,C1391,CV Andalas Logistik,Warehouse Staff,Magang,"Teknik Industri, Manajemen",Closed,2023-06-10,2023-06-30,5,6,"202210253,202221631,202011962,202312523,202210054,20229673",Sudah Dikirim
TC1682,TR1682,C271,CV Solusi Global,Industrial Engineer Intern,Part-time,Teknik Industri,Shortlisted,2023-06-24,2023-07-03,3,5,"20223462,202023529,202324707,20193490,202218641",Sudah Dikirim
TC1683,TR1683,C824,CV Indo Analitika,Data Entry Operator,Part-time,"Manajemen, Sistem Informasi",On Review,2023-06-29,2023-07-06,1,4,"202221378,202122503,20226216,20204952",Sudah Dikirim
TC1684,TR1684,C246,CV Inovasi Solusi,Research Associate,Magang,Statistika,Draft,2023-02-01,,3,0,,Belum Dikirim
TC1685,TR1685,C630,PT Global Teknologi,Regulatory Affairs Intern,Part-time,"Farmasi, Ilmu Hukum",Shortlisted,2023-03-07,2023-03-21,5,6,"20235765,202010358,202115374,202218535,202112699,202120665",Sudah Dikirim
TC1686,TR1686,C303,PT Esa Mandiri,Accounting Staff,Magang,"Akuntansi, Manajemen",On Review,2023-02-15,2023-02-23,2,5,"20202160,202321924,20237101,202218962,202018529",Sudah Dikirim
TC1687,TR1687,C1478,CV Perkasa Digital,Environmental Analyst,Magang,"Agroteknologi, Teknik Sipil",On Review,2023-05-03,2023-05-16,4,5,"20224657,202310298,202113221,20223558,20215155",Sudah Dikirim
TC1688,TR1688,C802,PT Global Abadi,Quality Control Staff,Magang,"Farmasi, Agroteknologi",Closed,2023-02-16,2023-02-24,4,7,"20238442,202016354,20225366,20223619,202111246,202221291,202220946",Sudah Dikirim
TC1689,TR1689,C526,CV Inovasi Cerdas,Instructional Designer,Part-time,"Ilmu Komunikasi, Pendidikan Teknik Informatika",Shortlisted,2023-07-09,2023-07-17,3,4,"202223491,202216705,201913199,201920302",Sudah Dikirim
TC1690,TR1690,C1398,PT Inovasi Konsultan,Geologist Intern,Magang,Teknik Sipil,Closed,2023-04-25,2023-05-01,3,3,"202220111,202210190,202112709",Sudah Dikirim
TC1691,TR1691,C1382,PT Cakra Digital,IT Support,Full-time,"Informatika, Teknik Elektro",Shortlisted,2023-02-15,2023-02-18,2,4,"20238452,202313119,20200923,202119128",Sudah Dikirim
TC1692,TR1692,C1284,PT Daya Media,Frontend Developer,Magang,"Informatika, Sistem Informasi",Shortlisted,2023-02-14,2023-02-24,3,4,"202117280,201912936,202311566,202313178",Sudah Dikirim
TC1693,TR1693,C775,PT Prima Inovasi,Marketing Staff,Full-time,"Desain Komunikasi Visual, Ilmu Komunikasi",On Review,2023-02-05,2023-02-25,3,3,"20207946,202320149,20220552",Sudah Dikirim
TC1694,TR1694,C1141,PT Makmur Inovasi,Supply Chain Intern,Magang,"Teknik Industri, Manajemen",Submitted,2023-06-06,2023-06-24,4,6,"20213369,20219023,202021881,20201632,20238801,202214160",Sudah Dikirim
TC1695,TR1695,C693,PT Sentosa Karya,Data Analyst,Part-time,"Ekonomi Pembangunan, Statistika",Shortlisted,2023-03-11,2023-03-22,2,2,"20214553,202112189",Sudah Dikirim
TC1696,TR1696,C120,PT Digital Konsultan,Compliance Officer Intern,Full-time,"Ilmu Hukum, Akuntansi",Submitted,2023-04-07,2023-04-10,4,6,"202019734,202118795,202114002,202215653,20237383,202113021",Sudah Dikirim
TC1697,TR1697,C1110,PT Mitra Gemilang,Environmental Analyst,Part-time,"Agroteknologi, Teknik Sipil",On Review,2023-04-03,2023-04-16,2,3,"202120663,202021358,20198991",Sudah Dikirim
TC1698,TR1698,C387,PT Perkasa Global,Frontend Developer,Magang,"Pendidikan Teknik Informatika, Sistem Informasi",Closed,2023-03-21,2023-04-05,1,3,"20233238,20238943,202116099",Sudah Dikirim
TC1699,TR1699,C047,PT Sukses Global,Data Analyst,Magang,"Ekonomi Pembangunan, Informatika",Closed,2023-06-30,2023-07-04,1,4,"202318381,202116960,202119418,201912106",Sudah Dikirim
TC1700,TR1700,C510,CV Digital Teknologi,IT Support,Magang,"Informatika, Sistem Informasi",Submitted,2023-07-02,2023-07-09,2,4,"20227555,202318184,202321053,202216511",Sudah Dikirim
TC1701,TR1701,C324,PT Inovasi Mandiri,Store Supervisor Intern,Magang,Manajemen,Shortlisted,2023-04-03,2023-04-14,2,3,"20207713,20221465,20200278",Sudah Dikirim
TC1702,TR1702,C1427,CV Media Global,Research Assistant,Magang,"Statistika, Farmasi",Closed,2023-03-23,2023-04-03,2,4,"202113610,202221875,20221283,20239164",Sudah Dikirim
TC1703,TR1703,C913,PT Bumi Nusantara,Compliance Officer Intern,Magang,"Ilmu Hukum, Akuntansi",Closed,2023-07-13,2023-08-01,1,4,"202215682,202010282,202118164,202222342",Sudah Dikirim
TC1704,TR1704,C1089,CV Cipta Gemilang,Business Development Intern,Magang,"Ilmu Komunikasi, Manajemen",Shortlisted,2023-04-23,2023-05-13,5,7,"20214330,202122121,20191403,20224868,20223030,20227361,20206883",Sudah Dikirim
TC1705,TR1705,C802,PT Global Abadi,Mechanical Engineer Intern,Magang,Teknik Mesin,Closed,2023-06-11,2023-06-15,2,2,"202019048,202213449",Sudah Dikirim
TC1706,TR1706,C968,PT Andalas Solusi,Supply Chain Analyst,Magang,"Teknik Industri, Sistem Informasi",Submitted,2023-07-08,2023-07-15,2,5,"202210663,20227777,20199900,202216723,202013151",Sudah Dikirim
TC1707,TR1707,C1095,PT Inti Indonesia,Accounting Staff,Full-time,"Akuntansi, Manajemen",Shortlisted,2023-03-07,2023-03-22,4,6,"202321964,202217883,202022076,20209642,202118324,202116856",Sudah Dikirim
TC1708,TR1708,C255,PT Bangkit Indonesia,Mechanical Engineer Intern,Magang,Teknik Mesin,Closed,2023-06-27,2023-07-03,2,3,"202314218,202223357,20214576",Sudah Dikirim
TC1709,TR1709,C1360,CV Cakra Solusi,HR Intern,Magang,"Psikologi, Manajemen",Closed,2023-03-29,2023-04-17,2,4,"20214015,202212622,202010388,202121648",Sudah Dikirim
TC1710,TR1710,C685,CV Indo Sejahtera,Operations Intern,Part-time,"Teknik Industri, Manajemen",Shortlisted,2023-05-02,2023-05-16,4,6,"20222166,202020959,20219023,202112407,20237441,202217271",Sudah Dikirim
TC1711,TR1711,C1114,CV Inti Systems,Marketing Staff,Part-time,"Desain Komunikasi Visual, Ilmu Komunikasi",Closed,2023-03-13,2023-03-21,1,2,"202119524,202016515",Sudah Dikirim
TC1712,TR1712,C676,CV Graha Data,Project Coordinator Intern,Magang,"Teknik Industri, Manajemen",Closed,2023-03-03,2023-03-22,4,4,"20213146,201910172,20224409,20194834",Sudah Dikirim
TC1713,TR1713,C174,PT Mitra Terapan,Mechanical Engineer Intern,Magang,Teknik Mesin,Closed,2023-06-07,2023-06-21,2,4,"202019085,20213393,20236225,202316044",Sudah Dikirim
